distance,rhr,zone mins
4.69,69,0
3.26,69,7
9.05,69,59
7.88,65,80
10,63,67
8.28,65,65
4.44,65,10
2.6,65,4
5.9,63,50
9.97,62,57
10.58,63,107
5.93,62,23
5.89,62,28
4.05,62,38
6.37,63,40
4.85,64,10
4.7,63,43
6.03,63,75
5.09,64,26
7.13,65,0
4.23,65,4
7.19,64,96
8.72,64,2
7.57,64,73
2.43,64,3
6.96,65,36
6.23,65,39
7.5,65,44
2.99,65,0
4.01,65,43
10.54,64,105
10.06,64,74
11.99,63,91
11.07,64,33
4.7,64,0
10.13,63,75
9,63,71
8.36,63,54
8.53,63,3
9.44,62,20
9.06,61,25
10.34,61,73
15.15,61,78
11.67,61,1
10.84,61,82
14.74,62,190
18.53,63,276
13.94,64,177
18.98,66,217
1.95,66,2
5.66,63,7
8.45,61,33
13.32,61,118
8.66,62,13
12.62,63,34
9.71,63,18
2.68,62,0
10.82,62,8
12.32,62,55
9.99,62,96
8.75,63,20
13.54,64,67
12.83,61,68
17.47,60,141
13.27,60,119
14.59,60,158
13.92,60,202
17.32,60,185
14.61,60,144
2.78,61,7
17.77,60,165
15.09,60,132
14.27,59,92
5.67,59,35
5.37,60,51
9.51,59,117
14.67,59,117
12.25,60,59
11.41,60,84
14.66,60,77
26.31,60,236
5.93,61,14
9.49,61,28
6.14,61,0
9.61,60,88
8.76,62,5
11.76,64,95
11.64,66,72
2.24,68,0
5.83,66,3
8.12,65,3
8.6,63,1
8.01,61,0
13.05,58,6
17.57,57,53
17.25,57,94
17.39,58,79
18.37,58,160
16.77,60,151
18.11,61,174
13.92,60,151
13.88,60,114
11.63,61,86
14.41,59,99
13.47,59,150
14.56,60,131
13.7,60,47
14,60,173
14,60,104
14.36,60,206
12.51,60,80
12.62,60,65
12.03,59,108
13.15,59,117
14.79,58,110
12.41,59,105
14.42,59,93
11.95,59,120
13.49,59,94
10.65,59,10
12.79,58,130
12.86,58,120
14.52,59,140
10.25,59,35
12.22,58,109
11.65,58,112
14.81,59,128
18.15,58,172
16.07,58,150
13.45,58,153
11.25,58,137
8.22,58,19
7.75,57,7
5.25,58,0
7.63,57,0
7.4,57,1
10.56,57,12
9.42,59,1
8.95,59,22
11.56,59,0
4.74,58,5
9.23,56,1
6.14,55,27
7.49,55,45
7.38,55,36
7.9,57,3
7.66,60,35
9.12,60,33
5.56,59,64
8.81,61,41